K	Lag	Month	Obs	SimPAR	SimPARX	SimRIDGE	SimPARX0	SimPARX1	SimPARX2	SimPARX3
223	3	12	1829.43182925	911.342074193701	897.584358055268	980.721775857342	910.371763431728	885.052210641252	872.89488864008	897.584358055268
223	4	1	2720.31412815	1670.1088317051	1636.62401438309	1759.11218437441	1603.5579181336	1621.56175391529	1603.45081664574	1610.26957801633
223	4	1	1350.09315675	1589.82355948177	1547.22121621597	1709.17952399198	1500.62317306214	1575.10401258556	1489.97932266253	1477.69487534377
223	4	1	2056.2609546	1702.0158830529	1703.49208032539	1816.94686033027	1644.46634511548	1702.01042890924	1621.75865368963	1639.6925652925
223	4	1	1207.9998684	1706.17177107503	1649.35546061868	1734.53353393629	1649.79466078605	1679.71501338586	1645.5793584898	1629.81584398149
223	4	1	927.92736045	1517.70431247811	1337.73047021729	1525.47424893567	1408.15819038863	1469.74268006211	1390.63639700183	1327.9601892865
223	4	1	826.63018335	1388.68020030161	1347.75024419649	1665.96573390238	1242.73477302738	1348.56184344387	1216.28419128852	1231.96783293789
223	4	1	1206.3210831	1387.66038664511	1122.67036358605	1456.68618262957	1241.42725726708	1140.16128472628	1238.71839945124	1241.46282962958
223	4	1	1244.19989655	1507.35217226128	1526.7644784383	1746.61461643037	1394.88558279007	1541.83995030847	1371.62649984424	1372.09454607393
223	4	1	993.0865086	1505.08382373516	1439.52382242509	1678.41706062989	1391.97730496023	1442.07180657494	1376.55940002847	1385.66447437901
223	4	1	936.93686445	1554.13582900916	1450.09990936154	1694.0379984302	1454.86749039896	1423.37875115447	1431.03848403741	1472.9541469389
223	4	2	3298.090608	2630.06020146082	2539.30601832326	2544.22771018961	2593.41959376555	2529.44608895297	2587.19790576708	2534.35664250028
223	4	2	2537.556624	2133.69202299552	2041.68904292592	2345.9065684432	1991.14292054091	2015.98553878597	1998.93812465334	2048.32088713482
223	4	2	2746.8220725	2321.01786670199	2226.40414366966	2437.03883039679	2218.43788192494	2180.32331322739	2229.81438263064	2237.72556945583
223	4	2	1501.65775485	2290.65614113525	2269.23728830535	2466.13880129134	2181.59797183192	2223.00922552695	2191.44744536994	2277.02332912618
223	4	2	1802.3809014	2042.80202941901	2154.51210275687	2445.26499246222	1880.86001898603	1934.35953809803	1902.98457539883	2170.08453968543
223	4	2	2055.2031423	1919.74202083894	1727.4760030883	2219.89618008666	1731.54308895285	1721.84636698305	1753.65481213859	1749.96876503114
223	4	2	2818.38136275	1781.02626008266	1570.88376890644	2124.59478662825	1563.22998884553	1621.21695433958	1574.37796129666	1581.98157890278
223	4	2	1507.91045265	2052.90834176627	2005.75598105158	2338.57753430196	1893.12268295836	1860.04970838474	1907.50353813079	2017.50670212397
223	4	2	2052.7563321	2173.12575897848	2090.68278290552	2377.55701238198	2038.99050697175	2045.84553807358	2050.76383210448	2101.31441956485
223	4	2	1922.85010485	1989.66437249716	1733.04879371699	2211.45528275638	1816.38454972288	1792.53920608896	1835.39033098586	1754.37531297551
223	4	3	3157.8865785	3506.03468939273	3409.1671308693	3219.67072359178	3627.20739840055	3414.88575720392	3412.74781516656	3524.70596012273
223	4	3	2541.1024485	2904.76739515417	2557.72536840873	2845.31542557659	2815.50687289912	2332.75517952538	2806.38271313434	2891.45583728551
223	4	3	3630.450465	3023.77245564759	3078.74623807011	3073.86518792379	2976.16166165188	3113.04130269801	2955.29725137172	2992.92348747646
223	4	3	2160.4374648	2890.75384022006	2889.32386427102	2967.57765827673	2796.58881430328	2665.6536673222	2895.63236297756	3028.39028378059
223	4	3	1689.35886135	2517.77962718294	2831.58769243762	2860.89690048527	2293.0800294057	2372.21524767825	2387.56183269689	2925.00588413363
223	4	3	2521.1204595	2585.96398520066	2241.13606400226	2750.94092178046	2385.1277422354	2287.00943914189	2465.48823106536	2281.62513798509
223	4	3	3170.1797838	2616.37647344486	2172.33644224381	2732.69938274081	2426.18407928577	2306.88200511418	2400.27587570932	2198.05575678939
223	4	3	2476.5436233	2920.94136107341	3010.24916621793	2998.91761652013	2837.34144923794	2799.09548065092	2817.34766824643	3094.39581947442
223	4	3	3540.00717	2616.78627611269	2475.69575633786	2806.37000001028	2426.73730585243	2386.6574284338	2462.25736197676	2524.40509952416
223	4	3	3374.486964	3025.10271110217	2753.12752069293	2996.38832327941	2977.95748367958	2885.26907630515	3079.91238436643	2764.86811566695
223	4	4	2241.42985485	3240.28738414538	3183.72639610054	3085.65941585241	3288.63306358838	3183.72639610054	3184.38277340176	3243.40458959945
223	4	4	2967.31560555	3061.04698753382	3152.65124909002	3089.84507853516	3002.28447575923	3152.65124909002	3036.19989277668	3007.2635701167
223	4	4	3240.4818735	3112.86860821816	2931.16594615197	3076.70474234916	3085.07299990057	2931.16594615197	3112.96161417953	3108.11143568647
223	4	4	2549.07204345	3028.29210108398	3015.83555690664	3082.41073220666	2949.95634183002	3015.83555690664	3025.21959912837	3035.74010918052
223	4	4	1482.01538805	2760.34467906738	2654.03384696289	3067.79244321525	2521.89231520776	2654.03384696289	2637.28743533391	2768.32171751772
223	4	4	2264.8895379	2881.19669401639	2829.59851900305	3079.37955895779	2714.96153660629	2829.59851900305	2778.93138933361	2696.77245913906
223	4	4	3360.8882439	2989.70739263544	2829.1792397899	3076.32006162578	2888.31467519176	2829.1792397899	2857.60606802272	2815.1586422856
223	4	4	3051.87917895	3185.06495483475	3195.87468856302	3086.80863288167	3200.41151895598	3195.87468856302	3281.43837826553	3310.8737012317
223	4	4	3554.8815825	2844.67810790745	2690.00063464519	3070.46462632035	2656.62063935603	2690.00063464519	2643.69984271727	2699.46778526543
223	4	4	2446.52183505	2881.58401372719	2769.23279680952	3077.25512638741	2715.58030589224	2769.23279680952	2774.1712053251	2657.24267805709
223	4	5	2738.7558	2114.04239019541	2152.10822335532	2165.71534653728	2078.65778312716	2079.24273419351	2088.47994304183	2156.23082731516
223	4	5	1226.33647515	2247.75086590275	2304.90611226708	2220.44804981421	2265.56405995311	2265.51453778061	2226.21165146539	2301.93910220907
223	4	5	2129.22699885	2019.43768752645	1980.28233694546	2104.1455057588	1946.4132664461	1945.51044597115	1954.37933782981	1965.45914531099
223	4	5	2157.1893738	2137.10295302695	2091.81908287613	2076.13687000719	2110.89331582285	2112.73100727511	2170.42174177035	2119.12628244753
223	4	5	2272.95016965	1995.76138204998	1849.77088484982	1975.35373572599	1913.31700921791	1914.86886136101	1999.77977108821	1875.55657430648
223	4	5	745.7358933	1949.09427812984	1676.15260250296	1907.75568002464	1848.08274042664	1846.72120335912	1890.71867284664	1666.61231827057
223	4	5	1184.33142855	1932.2156279362	1796.66527655004	1986.23669490358	1824.4886814199	1825.42638600557	1897.61522444023	1811.63862765217
223	4	5	1545.5345985	1995.48165431581	1967.9149055199	2107.33188357198	1912.9259878631	1913.5448104678	1923.98733249302	1973.58145726931
223	4	5	1750.9920993	2001.79321462061	1844.77856967105	1966.2683570537	1921.74869137005	1923.42107404444	2010.61922854065	1873.05476585479
223	4	5	2319.214473	1959.95142637449	1844.36336074047	2023.24752203652	1863.25955808625	1862.17107956691	1905.66803712785	1829.92410685299
223	4	5	1575.09521865	1950.59548745065	1874.52513729669	2060.66214324551	1850.18122702896	1850.74985768806	1874.14009917972	1881.23671861947
223	4	6	1024.6659777	1041.54834196727	1144.1192575501	1088.19977435942	1061.9516663631	1066.9444871333	1061.43194270628	1137.72507826219
223	4	6	714.48805125	1092.973135488	1176.67738646212	1181.23375335839	1126.31992599561	1155.07673676985	1126.94096113152	1141.51184606655
223	4	6	923.06807505	1015.80384126991	1071.34119440818	1068.60948698437	1029.7273521453	1045.69784806791	1029.69881317964	1052.3123778305
223	4	6	974.15963415	1037.03743149035	1148.72897471082	1071.54700090414	1056.30537326441	1090.70869748656	1055.02828488357	1110.3001229984
223	4	6	1021.86370215	910.69402856544	844.556936210275	830.604379107722	898.161715204841	897.285824983557	896.883716778914	849.512474960891
223	4	6	400.9127256	941.207580178548	727.490959562274	772.622173023481	936.355436133463	951.826257687363	935.617209114544	716.170114367893
223	4	6	565.63062075	966.860758476086	875.94290642647	865.471877673082	968.465442377622	964.538332478288	967.596641357158	884.355414245357
223	4	6	675.16407765	1044.29835610321	1120.05542284821	1085.19473335894	1065.39385079936	1040.56658374099	1065.54918642089	1146.72551780227
223	4	6	791.77103505	911.328472635443	799.337427070254	783.931413560313	898.955846942168	885.2062869121	897.629842829288	820.064396446297
223	4	6	1026.79312905	966.612487366324	889.707697076135	912.931303414836	968.154682175036	952.012221842999	968.123890284763	909.884729100523
